Zip,Location,City,AirportCode,State
90001,"6100 Wilmington Avenue, Los Angeles, Los Angeles, CA 90001",Los Angeles,LAX,CA
33619,"1841 Massaro Boulevard, Tampa, Tampa, FL 33619",Tampa,TPA,FL
95131,"2071 Ringwood Avenue, San Jose, San Jose, CA 95131",San Jose,SFO,CA
98001,"2302 West Valley Highway North, Auburn, Auburn, WA 98001",Auburn,SEA,WA
78218,"4520 Tejasco, San Antonio, San Antonio, TX 78218",San Antonio,SAT,TX
32505,"6020 Enterprise Drive, Pensacola, Pensacola, FL 32505",Pensacola,PNS,FL
85353,"10206 West Van Buren Street, Tolleson, Tolleson, AZ 85353",Tolleson,PHX,AZ
97222,"5505 Southeast Mallard Way, Milwaukie, Milwaukie, OR 97222",Milwaukie,PDX,OR
60106,"720 East Green Street, Bensenville, Bensenville, IL 60106",Bensenville,ORD,IL
73108,"1923 South Pennsylvania Avenue, Oklahoma City, Oklahoma City, OK 73108",Oklahoma City,OKC,OK
95035,"1025 Montague Expressway, Milpitas, Milpitas, CA 95035",Milpitas,SJC,CA
33055,"20600 Northwest 47th Avenue, Miami Gardens, Miami Gardens, FL 33055",Miami Gardens,MIA,FL
32819,"7810 Kingspointe Parkway, Orlando, Orlando, FL 32819",Orlando,MCO,FL
64111,"3177 Mercier Street, Kansas City, Kansas City, MO 64111",Kansas City,MCI,MO
90021,"1305 Wholesale Street, Los Angeles, Los Angeles, CA 90021",Los Angeles,LAX,CA
89119,"7215 Bermuda Road, Las Vegas, Las Vegas, NV 89119",Las Vegas,LAS,NV
46241,"5150 Decatur Boulevard, Indianapolis, Indianapolis, IN 46241",Indianapolis,IND,IN
77055,"1297 North Post Oak Road, Houston, Houston, TX 77055",Houston,IAH,TX
33122,"2924 Northwest 72nd Avenue, Miami, Miami, FL 33122",Miami,MIA,FL
30336,"5201 Phillip Lee Drive Southwest, Atlanta, Atlanta, GA 30336",Atlanta,ATL,GA
07036,"340 South Stiles Street, Linden, Linden, NJ 07036",Linden,EWR,NJ
33610,"5806 North 53rd Street, Tampa, Tampa, FL 33610",Tampa,TPA,FL
90021,"1219 Wholesale Street, Los Angeles, Los Angeles, CA 90021",Los Angeles,LAX,CA
48315,"13038 Pauline Drive, Shelby Township, Shelby Township, MI 48315",Shelby Township,DTW,MI
90670,"8940 Sorensen Avenue, 3, Santa Fe Springs, Santa Fe Springs, CA 90670",Santa Fe Springs,LAX,CA
90058,"5502 Alcoa Avenue, Vernon, Vernon, CA 90058",Vernon,LAX,CA
60632,"3301 West 47th Place, Chicago, Chicago, IL 60632",Chicago,ORD,IL
75050,"3100 Roy Orr Boulevard, Grand Prairie, Grand Prairie, TX 75050",Grand Prairie,DFW,TX
22079,"9610 Gunston Cove Road, Lorton, Lorton, VA 22079",Lorton,DCA,VA
43228,"1700 Georgesville Road, Columbus, Columbus, OH 43228",Columbus,CMH,OH
28273,"10240 Western Ridge Road, Charlotte, Charlotte, NC 28273",Charlotte,CLT,NC
21076,"1321 Mercedes Drive, Hanover, Hanover, MD 21076",Hanover,BWI,MD
02322,"40 Robbie Road, Avon, Avon, MA 02322",Avon,BOS,MA
63147,"7601 Hall Street, St. Louis, St. Louis, MO 63147",St. Louis,STL,MO
37217,"515 Airpark Center Drive, Nashville, Nashville, TN 37217",Nashville,BNA,TN
43123,"3423 Southpark Place, Grove City, Grove City, OH 43123",Grove City,CMH,OH
77073,"1211 Rankin Road, Houston, Houston, TX 77073",Houston,IAH,TX
78218,"5126 Commerce Parkway, San Antonio, San Antonio, TX 78218",San Antonio,SAT,TX
84116,"485 Jimmy Doolittle Road, Salt Lake City, Salt Lake City, UT 84116",Salt Lake City,SLC,UT
06114,"110 Murphy Road, Hartford, Hartford, CT 06114",Hartford,BDL,CT
30062,"829 Pickens Industrial Drive North East, Marietta, Marietta, GA 30062",Marietta,ATL,GA
21230,"2700 West Patapsco Avenue, Baltimore, Baltimore, MD 21230",Baltimore,BWI,MD
30084,"4441 Sentry Drive, Tucker, Tucker, GA 30084",Tucker,ATL,GA
33147,"6831 Northwest 37th Avenue, Miami, Miami, FL 33147",Miami,MIA,FL
76001,"4030 Express Street, Arlington, Arlington, TX 76001",Arlington,DFW,TX
90058,"4900 E 50th St, Vernon, Vernon, CA 90058",Vernon,LAX,CA
78577,"901 East Military Highway, Pharr, Pharr, TX 78577",Pharr,MFE,TX
78045,"14109 Atlanta Drive, Laredo, Laredo, TX 78045",Laredo,LRD,TX
37701,"3267 Northpark Boulevard, Alcoa, Alcoa, TN 37701",Alcoa,TYS,TN
53207,"5975 South Howell Avenue, Milwaukee, Milwaukee, WI 53207",Milwaukee,MKE,WI
45414,"2619 Needmore Road, Dayton, Dayton, OH 45414",Dayton,DAY,OH
29456,"9581 Palmetto Commerce Parkway, Ladson, Ladson, SC 29456",Ladson,CHS,SC
41018,"1825 Airport Exchange Boulevard, Erlanger, Erlanger, KY 41018",Erlanger,CVG,KY
40214,"7635 National Turnpike, Louisville, Louisville, KY 40214",Louisville,SDF,KY
27409,"532 North Regional Road, Greensboro, Greensboro, NC 27409",Greensboro,GSO,NC
29385,"10395 East Greenville Highway, Wellford, Wellford, SC 29385",Wellford,GSP,SC
35215,"1531 Red Hollow Road, Birmingham, Birmingham, AL 35215",Birmingham,BHM,AL
37217,"515 Airpark Center Drive, Nashville, Nashville, TN 37217",Nashville,BNA,TN
38118,"5280 Meltech Boulevard, Memphis, Memphis, TN 38118",Memphis,MEM,TN
79928,"13490 Pellicano Drive, El Paso, El Paso, TX 79928",El Paso,ELP,TX
55121,"3025 Lunar Lane, Eagan, Eagan, MN 55121",Eagan,MSP,MN
80221,"6331 Beach Street, Denver, Denver, CO 80221",Denver,DEN,CO
